Time:512Hz,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Classification
0.0859375,1145628032.0,1145628032.0,1145657472.0,1165894272.0,1145657472.0,1166101888.0,1145632256.0,1163561088.0,1145630208.0,1145657472.0,1163049088.0,1145628032.0,1145628032.0,1145630208.0,right
0.087890625,1163535360.0,1145632256.0,1145657472.0,1163036544.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165893248.0,1145657472.0,1166103168.0,1145632256.0,right
0.08984375,1145628032.0,1145628032.0,1145657472.0,1165884288.0,1145657472.0,1166097152.0,1145630208.0,1163543296.0,1145632256.0,1145657472.0,1163056512.0,1145628032.0,1145628032.0,1145630208.0,right
0.091796875,1163557504.0,1145630208.0,1145657472.0,1163049088.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165854848.0,1145657472.0,1166082688.0,1145632256.0,right
0.09375,1145628032.0,1145628032.0,1145657472.0,1165838592.0,1145657472.0,1166077696.0,1145630208.0,1163526400.0,1145632256.0,1145657472.0,1162922624.0,1145628032.0,1145628032.0,1145630208.0,right
0.095703125,1163464960.0,1145630208.0,1145657472.0,1162853248.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165813376.0,1145657472.0,1166079872.0,1145630208.0,right
0.09765625,1145628032.0,1145628032.0,1145657472.0,1165806592.0,1145657472.0,1166084096.0,1145632256.0,1163339008.0,1145630208.0,1145657472.0,1162886272.0,1145628032.0,1145628032.0,1145630208.0,right
0.099609375,1163290624.0,1145630208.0,1145657472.0,1162963584.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165791360.0,1145657472.0,1166075648.0,1145630208.0,right
0.1015625,1145628032.0,1145628032.0,1145657472.0,1165781888.0,1145657472.0,1166065664.0,1145632256.0,1163243392.0,1145630208.0,1145657472.0,1162984064.0,1145628032.0,1145628032.0,1145630208.0,right
0.103515625,1163243904.0,1145632256.0,1145657472.0,1162903680.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165754624.0,1145657472.0,1166051200.0,1145632256.0,right
0.10546875,1145628032.0,1145628032.0,1145657472.0,1165739392.0,1145657472.0,1166046976.0,1145632256.0,1163188864.0,1145630208.0,1145657472.0,1162780800.0,1145628032.0,1145628032.0,1145630208.0,right
0.107421875,1163153664.0,1145632256.0,1145657472.0,1162791296.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165757696.0,1145657472.0,1166048128.0,1145632256.0,right
